assolutamente,absolutely,,,,,
attualmente,currently,,,,,
altrove,elsewhere,,,,,
allora,then,,,,,
quindi,then,,,,,
dopo,after,,,,,
abbastanza,quite,,,,,
oggi,today,,,,,
anche,also,,,,,
immediatamente,immediately,,,,,
tanto,so,,,,,
in precedenza,earlier,,,,,
altrimenti,otherwise,,,,,
intorno,around,,,,,
prima,before,,,,,
l'altro ieri,the day before yesterday,,,,,
con,with,,,,,
molto,very,,,,,
basso,low,,,,,
bene,well,,,,,
presto,soon,,,,,
presto,soon,,,,,
improvvisamente,suddenly,,,,,
tuttavia,however,,,,,
certamente,certainly,,,,,
certamente,certainly,,,,,
qui,here,,,,,
quanto,how,,,,,
come,like,,,,,
come,like,,,,,
completamente,completely,,,,,
prima,before,,,,,
di più,more,,,,,
in piedi,standing,,,,,
fuori,outside,,,,,
già,already,,,,,
oltre,beyond,,,,,
oltre,beyond,,,,,
da quando,since,,,,,
di recente,recently,,,,,
ora,now,,,,,
sopra,above,,,,,
davanti,in front,,,,,
dolcemente,softly,,,,,
ugualmente,equally,,,,,
ancora,still,,,,,
finalmente,finally,,,,,
insieme,together,,,,,
poi,then,,,,,
enormemente,enormously,,,,,
circa,about,,,,,
facilmente,easily,,,,,
francamente,frankly,,,,,
gentilmente,kindly,,,,,
appena,just,,,,,
alto,high,,,,,
fortunatamente,fortunately,,,,,
ieri,yesterday,,,,,
qui,here,,,,,
immediatamente,immediately,,,,,
mai,never,,,,,
lì,there,,,,,
laggiù,down there,,,,,
lì dentro,in there,,,,,
su lì,up there,,,,,
ampiamente,wide,,,,,
leggermente,slightly,,,,,
lentamente,slowly,,,,,
lontano,far,,,,,
lungo,long,,,,,
poi,then,,,,,
durante,during,,,,,
ora,now,,,,,
male,bad,,,,,
anche,also,,,,,
meno,less,,,,,
meglio,better,,,,,
naturalmente,naturally,,,,,
no,no,,,,,
no,no,,,,,
sì,yes,,,,,
a volte,to sometimes,,,,,
ovunque,everywhere,,,,,
non,not,,,,,
perfettamente,perfectly,,,,,
poco,a little,,,,,
forse,maybe,,,,,
piuttosto,rather,,,,,
di più,more,,,,,
non,not,,,,,
perché,because,,,,,
ancora,still,,,,,
in precedenza,earlier,,,,,
precisamente,precisely,,,,,
prima,first,,,,,
quasi,almost,,,,,
quasi,almost,,,,,
profondamente,deeply,,,,,
poi,then,,,,,
a volte,sometimes,,,,,
da qualche parte,somewhere,,,,,
velocemente,quickly,,,,,
raramente,rarely,,,,,
solo,only,,,,,
seriamente,seriously,,,,,
semplicemente,simply,,,,,
così,so,,,,,
improvvisamente,suddenly,,,,,
spesso,often,,,,,
specialmente,especially,,,,,
così,so,,,,,
a volte,sometimes,,,,,
a volte,sometimes,,,,,
tardi,late,,,,,
così,so,,,,,
presto,soon,,,,,
sempre,always,,,,,
tutto,everything,,,,,
molto,very,,,,,
troppo,too,,,,,
velocemente,fast,,,,,
davvero,really,,,,,
