muy, very
poco, little
mucho, much
bien, well
mal, badly
rápido, quickly
lento, slowly
fácil, easily
difícil, with difficulty
claro, clearly
obvio, obviously
probablemente, probably
posiblemente, possibly
seguramente, surely
ciertamente, certainly
seguramente, securely
apenas, barely
casi, almost
apenas, hardly
completamente, completely
totalmente, totally
parcialmente, partially
relativamente, relatively
absolutamente, absolutely
generalmente, generally
normalmente, normally
usualmente, usually
frecuentemente, frequently
constantemente, constantly
continuamente, continuously
rápidamente, rapidly
lentamente, slowly
tranquilamente, calmly
cuidadosamente, carefully
fuertemente, strongly
ligeramente, lightly
ampliamente, widely
estrechamente, closely
directamente, directly
indirectamente, indirectly
correctamente, correctly
incorrectamente, incorrectly
justamente, justly
injustamente, unjustly
precisamente, precisely
exactamente, exactly
aproximadamente, approximately
recientemente, recently
antiguamente, formerly
actualmente, currently
previamente, previously
posteriormente, subsequently
finalmente, finally
inicialmente, initially
principalmente, mainly
solamente, only
únicamente, solely
especialmente, especially
particularmente, particularly
generalmente, generally
mayormente, mostly
mínimamente, minimally
suficientemente, sufficiently
excesivamente, excessively
demasiado, too much
bastante, enough
apenas, barely
algo, somewhat
nada, not at all
demasiado, too
muy poco, very little
muy bien, very well
muy mal, very badly
de vez en cuando, from time to time
a menudo, often
rara vez, rarely
siempre, always
nunca, never
todavía, still
ya, already
pronto, soon
tarde, late
temprano, early
ahora, now
antes, before
después, after
mientras, while
entonces, then
luego, later
así, so
también, also
tampoco, neither
sí, yes
no, no
quizás, maybe
probablemente, probably
seguramente, surely
acaso, perhaps
a lo mejor, maybe
posiblemente, possibly
seguramente, securely
claro que sí, of course
claro que no, of course not
por supuesto, of course
desde luego, naturally
efectivamente, indeed
verdaderamente, truly
realmente, really
justamente, precisely
precisamente, exactly
